Book-Title,Book-Author,Image-URL-M
Follow the Stars Home,Luanne Rice,http://images.amazon.com/images/P/0553581023.01.MZZZZZZZ.jpg
Joni: An Unforgettable Story,Joni Eareckson Tada,http://images.amazon.com/images/P/0310239621.01.MZZZZZZZ.jpg
"Give Us a Smile, Beetle Bailey",Mort Walker,http://images.amazon.com/images/P/0515098612.01.MZZZZZZZ.jpg
Perfect Princess: A Princess Diaries Book (Princess Diaries),Meg Cabot,http://images.amazon.com/images/P/0060526793.01.MZZZZZZZ.jpg
Merry-Go-Rounds (Carolrhoda on My Own Books),Art Thomas,http://images.amazon.com/images/P/0876141688.01.MZZZZZZZ.jpg
"Come Back, Wherever You Are",Lenora Mattingly Weber,http://images.amazon.com/images/P/1930009062.01.MZZZZZZZ.jpg
101 Dalmatians: Proud to Be a Pup,Disney Enterprises Inc,http://images.amazon.com/images/P/188522298X.01.MZZZZZZZ.jpg
"Lamb in the Laundry (Animal Ark, 12)",Ben M. Baglio,http://images.amazon.com/images/P/0439086426.01.MZZZZZZZ.jpg
Wild Animus,Rich Shapero,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg
Hidden Blessing,Leona Karr,http://images.amazon.com/images/P/0373872011.01.MZZZZZZZ.jpg
FAMILY FOR KEEPS (Love Inspired (Numbered)),Margaret Daley,http://images.amazon.com/images/P/0373871902.01.MZZZZZZZ.jpg
The Resurrection of the Body and the Ruin of the World,Paul Guest,http://images.amazon.com/images/P/1930974272.01.MZZZZZZZ.jpg
99 Fun Things to Do in Columbia and Boone County (Show Me Missouri),Pamela Watson,http://images.amazon.com/images/P/0964662523.01.MZZZZZZZ.jpg
Heaven to Betsy,Maud H. Lovelace,http://images.amazon.com/images/P/0064401103.01.MZZZZZZZ.jpg
Hart's Harbor,Deb Kastner,http://images.amazon.com/images/P/0373872178.01.MZZZZZZZ.jpg
