Book Title,Book Author,Image
"Over Sea, Under Stone",Susan Cooper,http://images.amazon.com/images/P/0020427859.01.MZZZZZZZ.jpg
Burn Factor,Kyle Mills,http://images.amazon.com/images/P/0060193344.01.MZZZZZZZ.jpg
Queen Lucia Part I,E. F. Benson,http://images.amazon.com/images/P/006080694X.01.MZZZZZZZ.jpg
All My Mothers and Fathers: A Memoir,Michael Blumenthal,http://images.amazon.com/images/P/0060933925.01.MZZZZZZZ.jpg
Little Altars Everywhere: A Novel,Rebecca Wells,http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg
Carpe Jugulum (Discworld Novels (Paperback)),Terry Pratchett,http://images.amazon.com/images/P/0061020397.01.MZZZZZZZ.jpg
Inventing Memory: A Novel of Mothers and Daughters,Erica Jong,http://images.amazon.com/images/P/0061091804.01.MZZZZZZZ.jpg
Portrait in Sepia,Isabel Allende,http://images.amazon.com/images/P/0066211611.01.MZZZZZZZ.jpg
The Mill on the Floss,George Eliot,http://images.amazon.com/images/P/0140051090.01.MZZZZZZZ.jpg
Paddy Clarke Ha Ha Ha,Roddy Doyle,http://images.amazon.com/images/P/0140233903.01.MZZZZZZZ.jpg
