Book Title,Book Author,Image
A midsummer night's dream; (The Alexander Shakespeare),William Shakespeare,http://images.amazon.com/images/P/0003252477.01.MZZZZZZZ.jpg
4:50 From Paddington,Agatha Christie,http://images.amazon.com/images/P/0006157629.01.MZZZZZZZ.jpg
The Screwtape Letters,C. S. Lewis,http://images.amazon.com/images/P/0060652934.01.MZZZZZZZ.jpg
Little Altars Everywhere: A Novel,Rebecca Wells,http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg
Carpe Jugulum (Discworld Novels (Paperback)),Terry Pratchett,http://images.amazon.com/images/P/0061020397.01.MZZZZZZZ.jpg
Caesar's Bicycle : Caesar's Bicycle (Timeline Wars),John Barnes,http://images.amazon.com/images/P/0061056618.01.MZZZZZZZ.jpg
Dead in the Water,Stuart Woods,http://images.amazon.com/images/P/0061093491.01.MZZZZZZZ.jpg
Portrait in Sepia,Isabel Allende,http://images.amazon.com/images/P/0066211611.01.MZZZZZZZ.jpg
Study Guide,MACIONIS,http://images.amazon.com/images/P/0130412422.01.MZZZZZZZ.jpg
The Mill on the Floss,George Eliot,http://images.amazon.com/images/P/0140051090.01.MZZZZZZZ.jpg
