Book Title,Book Author,Image
I am of Ireland,Richard Howard Brown,http://images.amazon.com/images/P/0060105569.01.MZZZZZZZ.jpg
I Love This Game!: My Life and Baseball,Kirby Puckett,http://images.amazon.com/images/P/0060177101.01.MZZZZZZZ.jpg
Consuming Passions: A Food-Obsessed Life,Michael Lee West,http://images.amazon.com/images/P/0060183713.01.MZZZZZZZ.jpg
The Janet Dailey Companion: A Comprehensive Guide to Her Life and Her Novels,Sonja Massie,http://images.amazon.com/images/P/0061084735.01.MZZZZZZZ.jpg
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,http://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg
Sarah's Room,Doris Orgel,http://images.amazon.com/images/P/0064432386.01.MZZZZZZZ.jpg
Portrait in Sepia,Isabel Allende,http://images.amazon.com/images/P/0066211611.01.MZZZZZZZ.jpg
Renaissance Florence: The Invention of a New Art,Richard Turner,http://images.amazon.com/images/P/0136184480.01.MZZZZZZZ.jpg
"\ Wuthering Heights According to Spike Milligan""",Spike Milligan,http://images.amazon.com/images/P/0140236465.01.MZZZZZZZ.jpg
Journey to the Centre of the Earth (Puffin Classics),Jules Verne,http://images.amazon.com/images/P/0140367152.01.MZZZZZZZ.jpg
