Book-Title,Book-Author,Image-URL-M
Wagon West #01: Independence (Wagons West),Dana Fuller Ross,http://images.amazon.com/images/P/0553244086.01.MZZZZZZZ.jpg
Masquerade,Gayle Lynds,http://images.amazon.com/images/P/042516019X.01.MZZZZZZZ.jpg
"Hog Down (Hogs, 2)",James Ferro,http://images.amazon.com/images/P/042517039X.01.MZZZZZZZ.jpg
Lucky You,Carl Hiaasen,http://images.amazon.com/images/P/0446604658.01.MZZZZZZZ.jpg
Rose Madder,Stephen King,http://images.amazon.com/images/P/0451186362.01.MZZZZZZZ.jpg
"Revenge of the Mummy (Clue Series, Book 13)",Marie Jacks,http://images.amazon.com/images/P/0590623761.01.MZZZZZZZ.jpg
Twelve Red Herrings,Jeffrey Archer,http://images.amazon.com/images/P/0061093653.01.MZZZZZZZ.jpg
Jewels,Danielle Steel,http://images.amazon.com/images/P/044021422X.01.MZZZZZZZ.jpg
Toybox,Al Sarrantonio,http://images.amazon.com/images/P/0843951745.01.MZZZZZZZ.jpg
"How I Got My Shrunken Head (Goosebumps, No 39)",R. L. Stine,http://images.amazon.com/images/P/0590568760.01.MZZZZZZZ.jpg
Trading Places,Fern Michaels,http://images.amazon.com/images/P/0743457943.01.MZZZZZZZ.jpg
White Lies,Anna Salter,http://images.amazon.com/images/P/0671023519.01.MZZZZZZZ.jpg
Blood Roses,Jeanette Baker,http://images.amazon.com/images/P/1551669102.01.MZZZZZZZ.jpg
Weather (Honey Bear Books),Caroline Astrop,http://images.amazon.com/images/P/1561447404.01.MZZZZZZZ.jpg
GHOST STY,Peter Straub,http://images.amazon.com/images/P/0671441981.01.MZZZZZZZ.jpg
Send No Flowers,SANDRA BROWN,http://images.amazon.com/images/P/0553576011.01.MZZZZZZZ.jpg
Sunflower,Martha Powers,http://images.amazon.com/images/P/0671039350.01.MZZZZZZZ.jpg
Maisie,Alice Schertle,http://images.amazon.com/images/P/0688093108.01.MZZZZZZZ.jpg
Public Secrets,Nora Roberts,http://images.amazon.com/images/P/0553285785.01.MZZZZZZZ.jpg
Face the Fire (Three Sisters Island Trilogy),Nora Roberts,http://images.amazon.com/images/P/051513287X.01.MZZZZZZZ.jpg
Tonight You're Mine,Carlene Thompson,http://images.amazon.com/images/P/0312968078.01.MZZZZZZZ.jpg
The Way You Look Tonight (Way You Look Tonight),Carlene Thompson,http://images.amazon.com/images/P/0312963319.01.MZZZZZZZ.jpg
Angela's Ashes (MMP) : A Memoir,Frank McCourt,http://images.amazon.com/images/P/0684872153.01.MZZZZZZZ.jpg
Object Lessons (Ballantine Reader's Circle),Anna Quindlen,http://images.amazon.com/images/P/0449001016.01.MZZZZZZZ.jpg
Hornet's Nest,Patricia Daniels Cornwell,http://images.amazon.com/images/P/042516098X.01.MZZZZZZZ.jpg
Candlenight,Phil Rickman,http://images.amazon.com/images/P/0515117153.01.MZZZZZZZ.jpg
