Book Title,Book Author,Image
"Cases in marketing: Orientation, analysis, and problems",Thomas V Greer,http://images.amazon.com/images/P/0023470801.01.MZZZZZZZ.jpg
I am of Ireland,Richard Howard Brown,http://images.amazon.com/images/P/0060105569.01.MZZZZZZZ.jpg
I Love This Game!: My Life and Baseball,Kirby Puckett,http://images.amazon.com/images/P/0060177101.01.MZZZZZZZ.jpg
When He Was Wicked (Bridgerton Family Series),Julia Quinn,http://images.amazon.com/images/P/0060531231.01.MZZZZZZZ.jpg
Stone Garden : A Novel,Molly Moynahan,http://images.amazon.com/images/P/0060544260.01.MZZZZZZZ.jpg
The Janet Dailey Companion: A Comprehensive Guide to Her Life and Her Novels,Sonja Massie,http://images.amazon.com/images/P/0061084735.01.MZZZZZZZ.jpg
Captain Cat (I Can Read Book 1),Syd Hoff,http://images.amazon.com/images/P/0064441768.01.MZZZZZZZ.jpg
Renaissance Florence: The Invention of a New Art,Richard Turner,http://images.amazon.com/images/P/0136184480.01.MZZZZZZZ.jpg
The Mill on the Floss,George Eliot,http://images.amazon.com/images/P/0140051090.01.MZZZZZZZ.jpg
Journey to the Centre of the Earth (Puffin Classics),Jules Verne,http://images.amazon.com/images/P/0140367152.01.MZZZZZZZ.jpg
