Book Title,Book Author,Image
Acts of Betrayal,Michael Dobbs,http://images.amazon.com/images/P/0002254131.01.MZZZZZZZ.jpg
4:50 From Paddington,Agatha Christie,http://images.amazon.com/images/P/0006157629.01.MZZZZZZZ.jpg
Footprints: The True Story Behind the Poem That Inspired Millions,Margaret Fishback Powers,http://images.amazon.com/images/P/000647425X.01.MZZZZZZZ.jpg
Underboss: Sammy the Bull Gravano's Story of Life in the Mafia,Peter Maas,http://images.amazon.com/images/P/0060182563.01.MZZZZZZZ.jpg
Burn Factor,Kyle Mills,http://images.amazon.com/images/P/0060193344.01.MZZZZZZZ.jpg
Stone Garden : A Novel,Molly Moynahan,http://images.amazon.com/images/P/0060544260.01.MZZZZZZZ.jpg
Ruins (The X-Files),Kevin J. Anderson,http://images.amazon.com/images/P/0061057363.01.MZZZZZZZ.jpg
Plain and Simple : A Journey to the Amish (Ohio),Sue Bender,http://images.amazon.com/images/P/0062501860.01.MZZZZZZZ.jpg
Betsy Was a Junior (Betsy &amp; Tacy),Maud Hart Lovelace,http://images.amazon.com/images/P/0064405478.01.MZZZZZZZ.jpg
The Jungle Books (Penguin Classics),Rudyard Kipling,http://images.amazon.com/images/P/0140183167.01.MZZZZZZZ.jpg
